userid,joindate,courseid
2935,2020-09-21,254
469,2022-10-26,631
8294,2023-08-04,364
2058,2020-01-04,240
6947,2023-01-21,98
9143,2023-02-20,381
8833,2023-04-07,357
3581,2020-01-26,178
9507,2021-01-12,895
7489,2023-03-03,532
6810,2021-06-28,683
4136,2020-11-03,935
5722,2021-02-20,524
8152,2024-11-27,1000
6266,2023-05-27,996
9213,2021-07-06,403
1328,2020-01-21,54
5096,2023-05-14,180
6816,2022-05-13,569
7041,2023-12-25,245
7274,2023-03-24,459
5590,2024-07-15,395
9407,2022-04-18,209
4942,2023-12-09,426
9108,2023-07-08,793
3382,2023-03-14,800
2577,2024-04-13,675
9083,2021-05-24,476
2780,2024-06-30,761
1254,2023-12-28,415
6164,2023-07-06,297
3090,2020-09-29,939
4291,2024-06-04,267
492,2020-09-30,720
9066,2023-05-12,673
5992,2020-03-28,55
1963,2021-06-11,643
8655,2023-03-01,364
4045,2020-01-23,474
9557,2021-04-03,292
1642,2021-04-14,153
7651,2023-08-17,156
5013,2023-08-14,326
9736,2021-03-24,503
2119,2021-11-11,259
1750,2021-07-03,515
4366,2021-12-13,127
6060,2024-02-21,107
4919,2021-05-18,466
177,2021-06-12,880
772,2022-11-01,191
3290,2022-07-24,601
4741,2020-07-08,356
2396,2020-07-31,622
6068,2020-10-14,393
3127,2020-12-11,50
6384,2021-11-25,140
2558,2024-01-24,698
6678,2023-07-22,736
1688,2024-08-18,851
6909,2020-08-12,388
685,2024-12-03,769
3039,2020-09-05,297
3096,2024-03-15,174
4688,2021-09-01,839
2115,2021-01-12,459
4581,2021-11-07,660
8294,2023-08-15,670
768,2020-07-05,126
188,2024-09-10,287
5287,2022-07-05,523
7632,2021-09-23,221
959,2023-07-02,192
2400,2022-04-18,111
9465,2021-12-09,111
5586,2024-08-01,123
3781,2021-02-01,884
7677,2022-09-04,114
4449,2023-05-16,970
996,2022-11-20,533
4007,2022-10-30,86
2191,2024-07-24,176
2501,2021-10-04,929
763,2022-02-17,339
7722,2020-10-06,804
1330,2023-10-15,670
5068,2023-07-16,860
2385,2022-08-29,308
2496,2023-03-18,915
3520,2024-01-02,277
2631,2023-10-02,988
6019,2021-01-04,505
5101,2020-03-02,702
7595,2020-06-11,561
419,2021-11-26,550
8150,2021-03-04,522
2250,2020-10-26,619
3638,2020-01-08,720
7016,2022-10-23,934
3873,2020-10-16,999
3742,2020-01-12,31
5792,2021-10-18,487
8322,2022-03-12,361
494,2020-03-28,480
9518,2024-07-16,320
9591,2020-12-11,920
2460,2024-08-13,517
4719,2022-03-22,774
5531,2020-08-09,837
3600,2021-12-18,471
6121,2023-07-04,476
4820,2022-01-01,684
9,2020-08-06,667
4456,2024-06-13,136
