userid,taskid
3062,672
8957,223
7709,215
1332,244
9071,1184
3555,1720
9968,1845
161,1349
104,909
5315,279
375,234
2897,1011
402,1027
6878,52
6843,1421
114,1464
7635,207
8545,250
5605,1085
1173,439
6244,1202
2947,142
2803,1743
1314,730
7692,492
9822,1979
9772,1150
9292,642
9787,1124
2162,818
5918,1724
688,809
7472,1247
9290,292
9223,557
2853,1062
1834,1614
5994,369
1120,1440
2515,1415
8789,1183
5888,1421
2196,121
1888,1835
2541,898
391,122
6303,1884
8832,1181
9898,85
6834,684
4404,1626
1969,42
517,570
6393,975
2958,482
8545,1378
3590,1905
7632,1168
8492,1287
4892,1622
5400,1161
1097,1989
1695,223
551,1842
728,859
3646,1899
4752,1489
1286,1469
7190,1672
7083,1267
4585,1299
1488,1205
9366,894
4497,163
963,964
9611,32
1681,899
3712,1863
9783,993
8543,1309
715,1666
7290,810
5942,823
8451,337
5362,1031
9238,236
7100,519
8532,268
4457,1222
942,447
9904,1299
8955,311
9822,745
8696,864
9963,1117
1041,718
544,1946
4471,1992
2098,1777
2540,847
5899,507
4611,1474
921,973
4074,939
2512,783
9849,1533
8579,1910
2203,51
584,1289
9785,304
1207,796
145,1267
1446,1835
1216,409
1032,1486
4402,750
6505,1806
5622,1665
3141,1455
813,1590
1696,485
1900,1831
8743,1066
6061,869
1764,494
1937,801
9659,1930
465,430
9336,1509
7887,1311
4574,1441
2270,45
3894,561
2183,1565
2335,294
4238,1121
4438,813
9876,1498
6792,165
5800,1306
81,1873
6561,1311
8727,927
777,1005
8992,1333
4059,1718
1402,488
2685,1979
2655,696
2343,1825
411,545
8390,1358
9957,1260
6253,394
1764,170
2389,1674
3437,219
6392,1857
2667,312
2217,1415
4972,165
2538,26
3091,257
5285,924
3533,1219
4127,900
483,1382
29,1526
6040,1816
9355,887
6186,27
4170,807
4657,534
4088,812
6970,1941
5240,507
9037,579
9704,1364
4694,251
9292,1385
7192,1852
4336,31
1000,1676
4744,762
4727,654
2624,1009
7519,1801
1647,1342
9353,347
7546,678
1762,948
2303,1304
4757,356
6,1200
5880,1445
1198,955
7441,1803
5737,1968
4524,251
5385,298
8442,1863
5764,545
2869,1285
5005,1293
4702,347
2816,1835
7460,1844
9475,1262
5797,1947
860,676
4290,205
1821,526
9690,1766
5479,516
9484,1112
6766,1948
6802,180
8937,1374
4233,1411
9943,1246
8714,1108
5130,1665
3732,1836
5595,318
7096,966
2673,1254
167,1570
3127,769
7668,793
3205,514
7733,590
4298,1584
5004,884
8633,1345
2698,1541
6234,1334
3183,684
3786,1170
9478,1497
1177,658
7970,440
1449,649
4813,1508
2377,1101
7213,151
5735,1454
8257,1559
4663,51
2797,882
8421,1873
5559,522
6133,532
1895,777
2743,1117
6258,1980
9793,911
3357,1678
4495,1400
6975,364
3639,214
6737,621
9975,905
687,1043
4490,1062
1946,1652
910,1854
6920,480
6714,677
8131,1843
851,646
8466,541
287,1445
2842,547
6861,259
8563,1342
7657,1984
6249,1436
5108,1268
8466,1012
3052,1538
8516,1477
1201,630
6323,530
1123,1881
7876,214
6106,143
5508,1631
6501,763
3580,1688
4040,272
6414,156
8077,1172
5010,1675
6856,968
6787,1062
8743,1453
8831,1945
9249,1156
7661,367
4742,1196
